#Notes:;;;;
#Stalage + and Stalage - are upper and lower 95% CI;;;;
#Age in yrs BP = years before 1950 CE;;;;
Depth from top of stal (mm);Depth (cm);Age (yrs BP);Stalage +;Stalage -
307,75;30,775;13585;13694;13515
308,25;30,825;13612;13717;13544
308,75;30,875;13639;13740;13572
309,25;30,925;13666;13763;13598
309,75;30,975;13693;13787;13624
310,25;31,025;13720;13810;13651
310,75;31,075;13746;13835;13678
311,25;31,125;13773;13859;13705
311,75;31,175;13799;13884;13732
312,25;31,225;13826;13908;13758
312,75;31,275;13852;13933;13785
313,25;31,325;13878;13957;13811
313,75;31,375;13904;13982;13837
314,25;31,425;13930;14007;13863
314,75;31,475;13956;14031;13889
315,25;31,525;13982;14056;13915
315,75;31,575;14008;14082;13942
316,25;31,625;14034;14107;13968
316,75;31,675;14061;14134;13993
317,25;31,725;14087;14161;14019
317,75;31,775;14113;14188;14045
318,25;31,825;14139;14215;14071
318,75;31,875;14165;14242;14096
319,25;31,925;14191;14270;14122
319,75;31,975;14217;14297;14148
320,25;32,025;14243;14325;14173
320,75;32,075;14269;14352;14198
321,25;32,125;14295;14380;14223
321,75;32,175;14321;14408;14248
322,25;32,225;14347;14436;14272
322,75;32,275;14373;14464;14297
323,25;32,325;14398;14492;14322
323,75;32,375;14424;14520;14346
324,25;32,425;14450;14548;14371
324,75;32,475;14476;14575;14395
325,25;32,525;14502;14602;14419
325,75;32,575;14528;14629;14443
326,25;32,625;14554;14656;14468
326,75;32,675;14579;14684;14493
327,25;32,725;14604;14713;14518
327,75;32,775;14630;14741;14542
328,25;32,825;14655;14768;14566
328,75;32,875;14680;14796;14590
329,25;32,925;14706;14823;14614
329,75;32,975;14732;14850;14637
330,25;33,025;14758;14878;14661
330,75;33,075;14784;14906;14684
331,25;33,125;14809;14934;14708
331,75;33,175;14835;14963;14732
332,25;33,225;14862;14991;14756
332,75;33,275;14888;15019;14780
333,25;33,325;14914;15047;14804
333,75;33,375;14941;15076;14828
334,25;33,425;14967;15104;14852
334,75;33,475;14993;15132;14876
335,25;33,525;15020;15161;14899
335,75;33,575;15046;15190;14922
336,25;33,625;15072;15218;14935
336,75;33,675;15099;15246;14947
337,25;33,725;15120;15268;14968
337,75;33,775;15142;15289;14989
338,25;33,825;15163;15310;15011
338,75;33,875;15184;15331;15032
339,25;33,925;15205;15353;15054
339,75;33,975;15226;15374;15075
340,25;34,025;15248;15395;15096
340,75;34,075;15269;15417;15118
341,25;34,125;15290;15438;15139
341,75;34,175;15311;15459;15161
342,25;34,225;15333;15480;15182
342,75;34,275;15354;15502;15203
343,25;34,325;15375;15523;15225
343,75;34,375;15396;15544;15246
344,25;34,425;15418;15566;15268
344,75;34,475;15439;15587;15289
345,25;34,525;15460;15608;15310
345,75;34,575;15481;15629;15332
346,25;34,625;15502;15651;15353
346,75;34,675;15524;15672;15375
347,25;34,725;15545;15693;15396
347,75;34,775;15566;15714;15417
348,25;34,825;15587;15736;15439
348,75;34,875;15609;15757;15460
349,25;34,925;15630;15778;15482
349,75;34,975;15651;15800;15503
350,25;35,025;15672;15821;15524
350,75;35,075;15694;15842;15546
351,25;35,125;15715;15863;15567
351,75;35,175;15736;15885;15589
352,25;35,225;15757;15906;15610
352,75;35,275;15779;15927;15631
353,25;35,325;15800;15949;15653
353,75;35,375;15821;15970;15674
354,25;35,425;15842;15991;15696
354,75;35,475;15863;16012;15717
355,25;35,525;15885;16034;15739
355,75;35,575;15906;16055;15760
356,25;35,625;15927;16076;15781
356,75;35,675;15948;16097;15803
357,25;35,725;15970;16119;15824
357,75;35,775;15991;16140;15846
358,25;35,825;16012;16161;15867
358,75;35,875;16033;16183;15888
359,25;35,925;16055;16204;15910
359,75;35,975;16076;16225;15931
360,25;36,025;16097;16246;15953
360,75;36,075;16118;16268;15974
361,25;36,125;16139;16289;15995
361,75;36,175;16161;16310;16017
362,25;36,225;16182;16332;16038
362,75;36,275;16203;16353;16060
363,25;36,325;16224;16374;16081
363,75;36,375;16246;16395;16102
364,25;36,425;16281;16422;16147
364,75;36,475;16316;16449;16189
365,25;36,525;16351;16477;16229
365,75;36,575;16386;16506;16265
366,25;36,625;16421;16537;16297
366,75;36,675;16456;16570;16324
367,25;36,725;16491;16605;16349
367,75;36,775;16526;16643;16372
368,25;36,825;16563;16684;16394
368,75;36,875;16600;16727;16417
369,25;36,925;16639;16772;16440
369,75;36,975;16680;16817;16463
370,25;37,025;16722;16862;16486
370,75;37,075;16767;16905;16509
371,25;37,125;16812;16948;16532
371,75;37,175;16860;16992;16555
372,25;37,225;16909;17036;16579
372,75;37,275;16960;17081;16603
373,25;37,325;17011;17127;16628
373,75;37,375;17063;17173;16653
374,25;37,425;17114;17219;16679
374,75;37,475;17164;17264;16705
375,25;37,525;17213;17310;16731
375,75;37,575;17262;17355;16758
376,25;37,625;17310;17400;16785
376,75;37,675;17358;17446;16812
377,25;37,725;17407;17491;16840
377,75;37,775;17454;17537;16868
378,25;37,825;17501;17582;16895
378,75;37,875;17548;17626;16922
379,25;37,925;17595;17671;16952
379,75;37,975;17641;17715;16985
380,25;38,025;17688;17760;17024
380,75;38,075;17734;17805;17067
381,25;38,125;17781;17850;17109
381,75;38,175;17828;17896;17146
382,25;38,225;17874;17941;17173
382,75;38,275;17921;17986;17198
383,25;38,325;17967;18031;17241
383,75;38,375;18013;18077;17323
384,25;38,425;18059;18122;17464
384,75;38,475;18104;18168;17659
385,25;38,525;18150;18213;17872
385,75;38,575;18195;18259;18066
386,25;38,625;18241;18304;18203
