sample,taxon,genome
TDM041,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM041_conexibacter.fa
TDM032,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM032_conexibacter.fa
TDM059,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM059_conexibacter.fa
TDM047,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM047_conexibacter.fa
TDM050,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM050_conexibacter.fa
TDM058,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM058_conexibacter.fa
TDM033,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM033_piscinibacter.fa
TDM042,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM042_piscinibacter.fa
TDM030,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM030_piscinibacter.fa
TDM001,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM001_piscinibacter.fa
TDM038,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM038_piscinibacter.fa
TDM051,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM051_piscinibacter.fa
TDM017,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM017_piscinibacter.fa
TDM019,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM019_piscinibacter.fa
TDM036,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM036_piscinibacter.fa
TDM003,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM003_piscinibacter.fa
TDM037,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM037_piscinibacter.fa
TDM027,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM027_piscinibacter.fa
TDM013,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM013_piscinibacter.fa
TDM053,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM053_piscinibacter.fa
TDM052,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM052_piscinibacter.fa
TDM060,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM060_piscinibacter.fa
TDM049,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM049_piscinibacter.fa
TDM005,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM005_piscinibacter.fa
TDM014,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM014_piscinibacter.fa
TDM015,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM015_piscinibacter.fa
TDM054,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM054_piscinibacter.fa
TDM024,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM024_piscinibacter.fa
TDM007,piscinibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM007_piscinibacter.fa
